17
1;V;D;4000111122223331;0320;123;1;0;0;23032016;200
2;M;K;5000111122223332;0520;124;2;2000;0;04052016;5000
3;V;K;4000111122223333;0320;152;3;0;1;28032016;12000
4;M;D;4000111122223334;1222;125;1;500000;1;12112016;3500
5;V;K;5401388677945082;1222;744;1;0;0;30122019;450
6;M;D;3027749763426269;1222;281;3;0;0;30122019;200
9;V;K;4406480257197257;1222;607;1;0;0;01012020;200
10;V;K;4406134204278503;1222;998;1;0;0;01012020;200
11;V;K;4406794466870835;0123;373;1;0;0;01012020;6876
13;V;K;4406373982105212;0123;940;1;0;1;01012020;757
14;M;D;5412444536897967;0123;451;11;0;0;01012020;7500
15;M;D;5412512628949580;0123;828;1;0;0;01012020;56
16;V;K;4406795232422798;0123;749;1;0;0;01012020;782
18;M;D;5412418160632804;0123;173;2;0;0;02012020;800
19;M;D;5412345665653437;0123;651;2;0;0;03012020;700
20;M;D;5412128185052528;0123;307;1;0;0;03012020;200
21;V;K;4406179234364876;0123;397;19;0;0;03012020;700
